,Steming,Label
0,lupa gagal tuan rumah piala dunia mari tata sepak bola indonesia depan kelam mata internasional indonesia anti jajah sepak bola indonesia sinar dunia persepakbolaan,negatif
1,gagal helat piala dunia indonesia jadi alam dewasa bangun semangat sepak bola tanah air cinta sepakbola kuat milik respons,positif
2,citra bela palestina pakai syal palestina baca buku kait palestina sok duluan ganjar kurangtapu pas piala dunia indonesia diamkontradiktif,negatif
3,coret tuan rumah piala dunia bentar coret tuan rumah wbg,netral
4,ketua erick thohir alas fifa batal posisi indonesia tuan rumah piala dunia fifa lanjut ajang piala dunia indonesia kait situasi kini,netral
5,piala dunia deret nyata bijak ganjar pranowo tuai kontroversi,positif
6,dukung penuh simpati warganet ketua pssi erick thohir juang lobi fifa keras pasti posisi indonesia tuan rumah piala dunia gagal,positif
7,fifa batal posisi indonesia tuan rumah piala dunia apresiasi dukung ketua pssi juang kerja keras lobi fifa gagal,negatif
8,ganjar pranowo sebut alas utama tolak datang timnas israel gelar piala dunia fifa indonesia,negatif
9,ketua pssi erick thohir harap sepak bola indonesia sanksi berat fifa pasca batal posisi indonesia tuan rumah piala dunia sepak bola indonesia ancam sangsi,positif
10,terima kasih fifa krena jadi indonesia tuan rumah piala dunia warga indonesia tolak timnas israel indonesia,negatif
11,perintah ri hambur uang triliun siap piala dunia indonesia batal fifa tolak israel perintah ri habis duit siap anoc world beach games bal ancam batal ioc gubernur bal tolak israel,negatif
12,tum pssi erick thohir harap fifa jatuh sanksi berat silam rujuk dampak cabut status tuan rumah indonesia selenggara piala dunia mei,positif
13,salah satu ganjar biang kerok batal piala dunia indonesia,netral
14,jawab statmen ganjar piala dunia batal gubernur jateng,netral
15,sulit anies gagas doi hasil bunuh mimpi anak muda indonesia tampil piala dunia,negatif
16,survei baru elektabilitas ganjar terjun bebas imbas piala dunia batal prabowo anies,positif
17,pdip singgung anies baswedan diam timnas israel piala dunia diam salah hahaha pokok anies salah,positif
18,piala dunia cabut status tuan rumah indonesia putus fifa kritik media spanyol,negatif
19,piala dunia cabut status tuan rumah indonesia putus fifa kritik media spanyol cek info lengkap,negatif
20,elektabilitas ganjar pranowo bukti kena pengaruh isu piala dunia mipos terjun bebas,positif
21,panitia laksana piala dunia resmi bubar ketua pssi harap gagal momentum bangkit bubar senin susul batal gelar piala dunia indonesia,negatif
22,ganjar tolak israel piala dunia obrol angkring ngomong ganjar nyari dukung kadrun dukung pindah mah ogah milih uban,negatif
23,tolak timnas israel piala dunia,negatif
24,sisi indonesia batal selenggara piala dunia,positif
25,pique selingkuh messi piala dunia nggak indonesia rambut zidane tumbuh,negatif
26,batal piala dunia koster ganjar ketua pssi fifa intervensi,positif
27,kaya gin tuan rumah piala dunia,positif
28,ganjar pranowo tegas putus tuan rumah piala dunia tangan fifa pssi,netral
29,informatif ivestigasi tempo kronologi indonesia tuan rumah piala dunia batal indonesia tuan rumah,netral
30,level gubernur pdip omong mencla mencle pegang percaya komitmen tulis ingkar tolak israel gubernur bal garansi tuan rumah piala dunia,negatif
31,ganjar koster caci ganjar koster tantang mundur tanggung moral piala dunia batal,negatif
32,ganjar sesal piala dunia,negatif
33,bukti ganjar piala dunia jalan mesti hadir timnas israel,netral
34,masyarakat nilai gagal selenggara piala dunia tolak ganjar ganjar sabar solusi perintah upaya piala dunia jalan,negatif
35,putus tangan fifa ganjar dukung bangsa main piala dunia laku tolak beliau israel timnas indonesia,positif
36,sosok pimpin kaya gin nanti ganjar saran solusi baik selenggara piala dunia jalan isreal,positif
37,ganjar nyata ganjar tolak israel bangsa main piala dunia,negatif
38,federasi futsal indonesia ffi aju host afc futsal asi cup ffi harap sanksi indonesia efek batal piala dunia ajang kualifikasi piala dunia venue layak lob,positif
39,tolak ganjar nyata dar cari solusi piala dunia indonesia selenggara isreal,positif
40,niat ganjar hancur mimpi anak bangsa gagal selenggara piala dunia sepenuh putus fifa,negatif
41,asi cup qatar optimis indonesia empat final duka indoensia gagal tuan rumah piala dunia jadwal piala asia qatar moga bawa nama harum bangsa indonesia aminn,positif
42,menteri pupr bantah infrastruktur batal indonesia tuan rumah piala dunia,negatif
43,jurnalis inggris kan alas ri batal host pildun kondisi lapang mana fifa indonesia gelar piala dunia dasar kunjung lapang bicara partisipasi israel,positif
44,piala dunia batal gelar tanah air justin hubner dkk minat bela timnas indonesia,positif
46,coret indonesia nggak masuk piala dunia bro timnas indonesia masuk pildun tuan rumah tuan rumah masuk masuk jalur prestasi jalur tuan rumah,netral
47,timnas indonesia masuk piala dunia jalur pristasi jalur tuan rumah bangga tuan rumah pengin jalur prestasi kalah tim thailand malasiya,negatif
48,klw ttd nilai laku gp gubernur bangkang kepada presiden perintah pusat inti gp salah aktor andil gagal piala dunia indonesia gubernur bangkang jokowi,negatif
49,politisasi sepak bola ujung sanksi indonesia fifa putus cabut status indonesia tuan rumah piala dunia rabu mimpi indonesia laga piala dunia,positif
