Text,Label
"@ch_chotimah2 @Dennysiregar7 @erickthohir @jokowi Lupakan kegagalan tuan rumah piala dunia u-20 mari kita menata masa depan sepak bola seluruh Indonesia kedepan yang kelam di mata internasional.
Selama Indonesia masih anti dengan penjajahan maka sampai kapan pun sepak bola di Indonesia tidak akan bersinar di dunia persepakbolaan",negatif
"Gagalnya perhelatan piala dunia U-20 di Indonesia menjadikan suatu pengalaman yg mendewasakan kita semua. 

@erickthohir bangun semangat sepak bola tanah air yg kita semua tahu bahwa para pecinta sepakbola sangat kuat dan memiliki respons sangat luar biasa.
#GueBarengErickThohir https://t.co/sIGWMm0zLd",positif
"@tatakujiyati Tapi @aniesbaswedan kan sering mencitrakan diri sgt membela Palestina.Pake Syal Palestina, Baca buku sampai segala sesuatu yg berkaitan dgn Palestina biasa sok paling duluan Ganjar malah kurang.Tapu pas piala dunia U-20 di Indonesia malah diam?.Kontradiktif.",negatif
"Dicoret sebagai tuan rumah piala dunia U-20, bentar lagi dicoret sebagai tuan rumah WBG. 🤣🤣 https://t.co/gFe3ZpByn9",netral
"Ketua umum Erick Thohir mengungkapkan alasan FIFA untuk membatalkan posisi Indonesia sebagai tuan rumah Piala Dunia U-20 2023.
@erickthohir menyampaikan bahwa FIFA tidak mungkin melanjutkan ajang Piala Dunia U-20 di Indonesia terkait situasi terkini.
#GueBarengErickThohir https://t.co/3NWnpAKmzt",netral
"Bukan Cuma Soal Piala Dunia U-20, Ini Sederet Pernyataan dan Kebijakan Ganjar Pranowo Yang Tuai Kontroversi https://t.co/4lJLvwdMqR",positif
"Dukungan penuh dan simpati diberikan oleh warganet untuk ketua umum PSSI Erick Thohir atas perjuangannya melakukan lobi terhadap FIFA.
@erickthohir bekerja sangat keras untuk kepastian posisi Indonesia sebagai tuan rumah Piala Dunia U-20, meskipun gagal.
#GueBarengErickThohir https://t.co/Q7UpApAYLs",positif
"Meskipun FIFA telah membatalkan posisi Indonesia sebagai tuan rumah Piala Dunia U-20 2023, namun apresiasi dan dukungan tetap diberikan kepada Ketua Umum PSSI @erickthohir atas perjuangan dan kerja kerasnya dalam melakukan lobi kepada FIFA, meskipun gagal.
#GueBarengErickThohir https://t.co/YWodgsuXfq",negatif
"Ganjar Pranowo sebutkan alasan utama tolak kedatangan Timnas Israel pada gelaran Piala Dunia FIFA U-20 2023 di Indonesia.
#GanjarPranowoMenjawab #GanjarPranowo #PialaDuniaU20
https://t.co/9HTajgox5U",negatif
"Ketua umum PSSI Erick Thohir berharap sepak bola Indonesia tidak diberikan sanksi berat oleh FIFA, pasca pembatalan posisi Indonesia sebagai tuan rumah Piala Dunia U-20.
@erickthohir ingin sepak bola Indonesia bisa keluar dari ancaman sangsi.
#GueBarengErickThohir https://t.co/JhlT9jXNNY",positif
"Terimakasih FIFA Krena TDK menjadikan Indonesia sebagai tuan rumah Piala Dunia U-20.

Kami warga Indonesia menolak dgn tegas Timnas Israel ada di Indonesia...
#tolaktimnasisrael 

@ganjarpranowo 
@NajwaShihab https://t.co/MrdQIkoWQP",negatif
Pemerintah RI hamburkan uang triliunan untuk persiapkan piala dunia u-20 di Indonesia tapi sdh dibatalkan FIFA karena ada penolakan Israel. Skrg pemerintah RI habiskan duit siapkan ANOC World Beach Games 2023 di Bali tapi terancam dibatalkan IOC karena Gubernur Bali tolak Israel https://t.co/dPIA49vmYq,negatif
"Ketum PSSI Erick Thohir berharap FIFA tak menjatuhkan sanksi berat seperti yang dilakukan mereka pada 2015 silam.

Hal tersebut merujuk dari dampak pencabutan status tuan rumah Indonesia sebagai penyelenggara Piala Dunia U-20 pada Mei mendatang.

#GueBarengErickThohir https://t.co/5CMPZY6TYe",positif
@Miduk17 Salah satunya ganjar biang kerok batalnya piala dunia U 20 di Indonesia.,netral
"Terjawab sudah bukan karena statmen Ganjar, piala Dunia U 20 batal, dia hanyalah sebagai Gubernur Jateng https://t.co/Up52rEfXZe",netral
"@Paltiwest Memang sulit Anies ini, selain gak punya gagasan, doi juga sudah berhasil membunuh mimpi anak muda Indonesia tampil di Piala Dunia U-20!!

😂🤭",negatif
"Survei Terbaru: Elektabilitas Ganjar Terjun Bebas Imbas Piala Dunia U-20 Batal, Kini di Bawah Prabowo dan Anies https://t.co/CVVbqgLwpf #AniesBaswedan #GanjarPranowo #MIPOS #PialaDuniaU-20",positif
"PDIP Singgung Anies Baswedan yang Diam soal Timnas Israel di Piala Dunia U-20

Diam aja salah 😂
Hahaha ... Pokoknya Anies harus salah 🤣 https://t.co/zsDimfQWaH",positif
"Piala Dunia U-20: Cabut Status Tuan Rumah Indonesia, Keputusan FIFA Dikritik Media Spanyol

#L858 #beritabolaterkini #beritabolaterbaru #berita #taruhanbola #situsjudionlineterpercaya #agenjudibola #bolaparlay #betparlay #PialaDuniaU-20 https://t.co/o4gXCYf5Ev",negatif
"Piala Dunia U-20: Cabut Status Tuan Rumah Indonesia, Keputusan FIFA Dikritik Media Spanyol

Cek Info Lebih lengkapnya Di : https://t.co/c0CCByFNEI

#PARITA99 #BeritaBola #BeritaBolaHarian #AgenBolaTerpercaya #SitusBolaTerpercaya #PialaDuniaU-20 https://t.co/VFlk3TC2G4",negatif
"Elektabilitas Ganjar Pranowo Terbukti Kena Pengaruh Isu Piala Dunia U-20, MIPOS: Terjun Bebas! https://t.co/unkyFpmNmY",positif
"Panitia Pelaksana Piala Dunia U-20 2023 secara resmi dibubarkan. Ketua Umum PSSI @erickthohir berharap kegagalan ini menjadi momentum untuk bangkit. Pembubaran ini dilakukan pada, Senin (3/4/2023), menyusul batalnya gelaran Piala Dunia U-20 di Indonesia.
#GueBarengErickThohir https://t.co/5eEUcHWRHM",negatif
"@MarahIchsan Saat Ganjar menolak Israel di piala dunia U-20, obrolan di angkringan ada yang ngomong, si Ganjar nyari dukungan kadrun, karena yg sdh mendukung dia selama ini tidak akan berpindah ke yg lain.
Aku mah tetap ogah milih pak uban...",negatif
Penolakan Timnas Israel Piala Dunia U-20 2023 https://t.co/VRKnDm3sUr,negatif
@Fransensismo @idextratime di sisi lain  Indonesia batal menyelenggarakan piala dunia u-20,positif
"@realmadridindo1 - Pique selingkuh 
- Messi belum balik
- piala dunia u-20 nggak jadi di Indonesia 
- rambutnya zidane belum tumbuh",negatif
"Batal piala dunia U-20 karena Koster dan Ganjar
Ketua PSSI: Ya FIFA Melihat ini sebuah Intervensi https://t.co/TSgTvQBfC7",positif
@thecasualultra Kaya gini mau jadi tuan rumah piala dunia u-20,positif
Ganjar Pranowo Tegaskan Keputusan Soal Tuan Rumah Piala Dunia U-20 di Tangan FIFA dan PSSI https://t.co/w7g2KGJIbw,netral
@Reonyree @Gus_Raharjo Cukup informatif. Ivestigasi Tempo di atas mengingatkan kita kembali kronologi awal mula Indonesia ditunjuk sebagai tuan rumah piala dunia U-20 sampai pada pembatalan Indonesia sebagai tuan rumah.,netral
"@KakekHalal Level gubernur (PDIP) tapi omongan mencla mencle, gak bisa dipegang, gak bisa dipercaya.

Bahkan komitmen tertulis diingkarinya pula.

https://t.co/UAqilYbtNn

Sebelum Tolak Israel, Gubernur Bali Garansi Jadi Tuan Rumah Piala Dunia U-20
https://t.co/R1w8JYE0tN",negatif
"@KakekHalal GANJAR + KOSTER DICACI
https://t.co/hhUSUpKdCI

Ganjar dan Koster Ditantang Mundur sbg Tanggung Jawab Moral Piala Dunia U-20 Batal
https://t.co/934h99GHbT",negatif
"@KakekHalal GANJAR &amp; PENYESALAN PIALA DUNIA U 20 !!
https://t.co/iYFaxzTdbA",negatif
@GanjaranApp Ini adalah sebuah bukti bahwa Pak Ganjar tetap ingin piala dunia U-20 ini tetap berjalan dengan semestinya tanpa kehadiran timnas Israel,netral
"@GanjaranApp Kita bisa melihat walaupun banyak dari masyarakat yang menilai gagalnya penyelenggaraan piala dunia dikarenakan penolakan Pak Ganjar, namun Pak Ganjar tetap sabar dan ingin memberikan solusi terhadap pemerintah agar bisa mengupayakan piala dunia U-20 ini tetap berjalan",negatif
"@GanjaranApp Memang keputusan akhir semuanya ada di tangan FIFA, tapi bagi Pak Ganjar mendukung bangsa ini agar tetap bisa bermain di piala dunia U-20 terus di lakukan. Yang di tolak oleh beliau hanya Israel nya bukan timnas Indonesia",positif
"@GanjaranApp Sosok pemimpin yang kaya gini nih yang paling saya nantikan, Pak Ganjar tidak hanya memberikan saran namun juga solusi terbaik agar penyelenggaraan piala dunia U-20 tetap bisa berjalan tanpa adanya Isreal",positif
"@GanjaranApp Tentu saja Pak Ganjar ingin, yang pernyataan Pak Ganjar ini menolak Israel. Bukan tidak ingin bangsa ini bisa bermain di piala dunia U-20",negatif
"Federasi Futsal Indonesia (FFI) telah ajukan diri menjadi host AFC Futsal Asian Cup 2024. FFI juga berharap tidak ada sanksi untuk Indonesia efek batalnya Piala Dunia U-20.

Ajang kualifikasi Piala Dunia 2024. Venue mana yang menurut kalian layak lob?

#ACFutsal2024
#TimnasFutsal https://t.co/3LSZUXS2I6",positif
"@GanjaranApp Penolakan yang Pak Ganjar nyatakan memang tidak hanya sekedar itu, namun mencari solusi agar bagaimana piala dunia U-20 di Indonesia tetap bisa terselenggara tanpa adanya isreal",positif
"@GanjaranApp @ganjar_pranowo Tidak ada niat di dalam diri Pak Ganjar ingin menghancurkan mimpi anak bangsa, namun memang gagalnya penyelenggaraan piala dunia U-20 ini sepenuhnya harus karna keputusan FIFA yang kurang tepat",negatif
"🏆: ASIAN CUP QATAR 2023 
optimis Indonesia ke perempat final ☝
⚽ : berduka atas indoensia yg gagal menjadi tuan rumah Piala Dunia U-20 2023 🥀
Tapi masih ada jadwal piala Asia di qatar semoga bisa membawa nama harum bangsa Indonesia aminn🙏
#AFCON2023Q #AsiaCup2023 https://t.co/pgVsnmRaac",positif
"Menteri PUPR Bantah Infrastruktur Tidak Siap, Di Balik Batalnya Indonesia Jadi Tuan Rumah Piala Dunia U-20
https://t.co/agYUM3eetq",negatif
"Jurnalis Inggris Beberkan Alasan RI Batal Jadi Host Pildun U-20 karena kondisi lapangan dimana FIFA merasa bahwa Indonesia tidak akan siap gelar Piala Dunia U-20 berdasarkan kunjungan lapangan sementara pembicaraan tentang partisipasi Israel berlangsung
https://t.co/L86tc8ch9E.",positif
"Piala Dunia U-20 batal digelar di tanah air, Justin Hubner dkk tetap berminat bela Timnas Indonesia.
https://t.co/uAmilW7yRr",positif
"Terjawab sudah bukan karena statmen Ganjar, piala Dunia U 20 batal, dia hanyalah sebagai Gubernur Jateng https://t.co/3aJEcplwf3",netral
"@BabangJag00 @AltoLuger Sebelum di coret  indonesia nggak akan masuk piala dunia bro,   timnas indonesia masuk pildun u-20 karna menjadi tuan rumah..  kalau gak jadi tuan rumah gak bakal masuk
Karena masuk nya bukan lewat jalur prestasi  tapi jalur tuan rumah",netral
"@AltoLuger Timnas Indonesia  masuk piala dunia u-20   bukan  dari jalur pristasi tapi dari jalur tuan rumah,,, 
Jadi jangan bangga jadi tuan rumah  
Kalau pengin dari jalur prestasi kalah kan dulu  tim Thailand dan malasiya",negatif
"@007koteka Trus klw gak ttd, anda menilai apa yg d lakukan GP sebagai Gubernur membangkang pd Presiden (Pemerintah Pusat) sudah benar?? 
Inti nya ,GP adalah salah seorang aktor yg punya andil menggagalkan Piala dunia U-20 di Indonesia dan Gubernur pembangkang pada Jokowi.
Kami akan ingat !!",negatif
"[POLITISASI SEPAK BOLA BERUJUNG SANKSI UNTUK INDONESIA] 

FIFA memutuskan mencabut status Indonesia menjadi tuan rumah Piala Dunia U-20 2023. Rabu (29/3/2023), menjadi akhir dari mimpi Indonesia berlaga di Piala Dunia U-20 2023. https://t.co/skRkyTIfY3",positif
