,Datetime,Username,Text,duplicate
0,2023-04-05 23:57:19+00:00,halintarbungkam,"@ch_chotimah2 @Dennysiregar7 @erickthohir @jokowi Lupakan kegagalan tuan rumah piala dunia u-20 mari kita menata masa depan sepak bola seluruh Indonesia kedepan yang kelam di mata internasional.
Selama Indonesia masih anti dengan penjajahan maka sampai kapan pun sepak bola di Indonesia tidak akan bersinar di dunia persepakbolaan",False
1,2023-04-05 23:54:25+00:00,kirarachelsea,"Gagalnya perhelatan piala dunia U-20 di Indonesia menjadikan suatu pengalaman yg mendewasakan kita semua. 

@erickthohir bangun semangat sepak bola tanah air yg kita semua tahu bahwa para pecinta sepakbola sangat kuat dan memiliki respons sangat luar biasa.
#GueBarengErickThohir https://t.co/sIGWMm0zLd",False
2,2023-04-05 23:29:31+00:00,teodorikgultom,"@tatakujiyati Tapi @aniesbaswedan kan sering mencitrakan diri sgt membela Palestina.Pake Syal Palestina, Baca buku sampai segala sesuatu yg berkaitan dgn Palestina biasa sok paling duluan Ganjar malah kurang.Tapu pas piala dunia U-20 di Indonesia malah diam?.Kontradiktif.",False
3,2023-04-05 23:22:27+00:00,03__nakula,"Dicoret sebagai tuan rumah piala dunia U-20, bentar lagi dicoret sebagai tuan rumah WBG. 🤣🤣 https://t.co/gFe3ZpByn9",False
4,2023-04-05 23:18:25+00:00,Aprilia_wiji,"Ketua umum Erick Thohir mengungkapkan alasan FIFA untuk membatalkan posisi Indonesia sebagai tuan rumah Piala Dunia U-20 2023.
@erickthohir menyampaikan bahwa FIFA tidak mungkin melanjutkan ajang Piala Dunia U-20 di Indonesia terkait situasi terkini.
#GueBarengErickThohir https://t.co/3NWnpAKmzt",False
5,2023-04-05 23:15:02+00:00,RepelitaO,"Bukan Cuma Soal Piala Dunia U-20, Ini Sederet Pernyataan dan Kebijakan Ganjar Pranowo Yang Tuai Kontroversi https://t.co/4lJLvwdMqR",False
6,2023-04-05 23:14:14+00:00,Aprilia_wiji,"Dukungan penuh dan simpati diberikan oleh warganet untuk ketua umum PSSI Erick Thohir atas perjuangannya melakukan lobi terhadap FIFA.
@erickthohir bekerja sangat keras untuk kepastian posisi Indonesia sebagai tuan rumah Piala Dunia U-20, meskipun gagal.
#GueBarengErickThohir https://t.co/Q7UpApAYLs",False
7,2023-04-05 23:12:24+00:00,Aprilia_wiji,"Meskipun FIFA telah membatalkan posisi Indonesia sebagai tuan rumah Piala Dunia U-20 2023, namun apresiasi dan dukungan tetap diberikan kepada Ketua Umum PSSI @erickthohir atas perjuangan dan kerja kerasnya dalam melakukan lobi kepada FIFA, meskipun gagal.
#GueBarengErickThohir https://t.co/YWodgsuXfq",False
8,2023-04-05 23:03:25+00:00,JemberNetwork,"Ganjar Pranowo sebutkan alasan utama tolak kedatangan Timnas Israel pada gelaran Piala Dunia FIFA U-20 2023 di Indonesia.
#GanjarPranowoMenjawab #GanjarPranowo #PialaDuniaU20
https://t.co/9HTajgox5U",False
9,2023-04-05 22:59:05+00:00,Aprilia_wiji,"Ketua umum PSSI Erick Thohir berharap sepak bola Indonesia tidak diberikan sanksi berat oleh FIFA, pasca pembatalan posisi Indonesia sebagai tuan rumah Piala Dunia U-20.
@erickthohir ingin sepak bola Indonesia bisa keluar dari ancaman sangsi.
#GueBarengErickThohir https://t.co/JhlT9jXNNY",False
10,2023-04-05 22:55:46+00:00,Rizkybaswedan,"Terimakasih FIFA Krena TDK menjadikan Indonesia sebagai tuan rumah Piala Dunia U-20.

Kami warga Indonesia menolak dgn tegas Timnas Israel ada di Indonesia...
#tolaktimnasisrael 

@ganjarpranowo 
@NajwaShihab https://t.co/MrdQIkoWQP",False
11,2023-04-05 22:41:39+00:00,zoxar,Pemerintah RI hamburkan uang triliunan untuk persiapkan piala dunia u-20 di Indonesia tapi sdh dibatalkan FIFA karena ada penolakan Israel. Skrg pemerintah RI habiskan duit siapkan ANOC World Beach Games 2023 di Bali tapi terancam dibatalkan IOC karena Gubernur Bali tolak Israel https://t.co/dPIA49vmYq,False
12,2023-04-05 22:33:34+00:00,MarkEsso8,"Ketum PSSI Erick Thohir berharap FIFA tak menjatuhkan sanksi berat seperti yang dilakukan mereka pada 2015 silam.

Hal tersebut merujuk dari dampak pencabutan status tuan rumah Indonesia sebagai penyelenggara Piala Dunia U-20 pada Mei mendatang.

#GueBarengErickThohir https://t.co/5CMPZY6TYe",False
13,2023-04-05 22:31:08+00:00,hdw_tahir,@Miduk17 Salah satunya ganjar biang kerok batalnya piala dunia U 20 di Indonesia.,False
14,2023-04-05 22:13:15+00:00,GamantoY,"Terjawab sudah bukan karena statmen Ganjar, piala Dunia U 20 batal, dia hanyalah sebagai Gubernur Jateng https://t.co/Up52rEfXZe",False
15,2023-04-05 22:13:12+00:00,putrafajar1945,"@Paltiwest Memang sulit Anies ini, selain gak punya gagasan, doi juga sudah berhasil membunuh mimpi anak muda Indonesia tampil di Piala Dunia U-20!!

😂🤭",False
16,2023-04-05 22:12:24+00:00,fajaronline,"Survei Terbaru: Elektabilitas Ganjar Terjun Bebas Imbas Piala Dunia U-20 Batal, Kini di Bawah Prabowo dan Anies https://t.co/CVVbqgLwpf #AniesBaswedan #GanjarPranowo #MIPOS #PialaDuniaU-20",False
17,2023-04-05 22:09:18+00:00,MuhiqR,"PDIP Singgung Anies Baswedan yang Diam soal Timnas Israel di Piala Dunia U-20

Diam aja salah 😂
Hahaha ... Pokoknya Anies harus salah 🤣 https://t.co/zsDimfQWaH",False
18,2023-04-05 22:08:28+00:00,Liga8583,"Piala Dunia U-20: Cabut Status Tuan Rumah Indonesia, Keputusan FIFA Dikritik Media Spanyol

#L858 #beritabolaterkini #beritabolaterbaru #berita #taruhanbola #situsjudionlineterpercaya #agenjudibola #bolaparlay #betparlay #PialaDuniaU-20 https://t.co/o4gXCYf5Ev",False
19,2023-04-05 22:06:26+00:00,PBola99,"Piala Dunia U-20: Cabut Status Tuan Rumah Indonesia, Keputusan FIFA Dikritik Media Spanyol

Cek Info Lebih lengkapnya Di : https://t.co/c0CCByFNEI

#PARITA99 #BeritaBola #BeritaBolaHarian #AgenBolaTerpercaya #SitusBolaTerpercaya #PialaDuniaU-20 https://t.co/VFlk3TC2G4",False
20,2023-04-05 21:45:01+00:00,WartaEkonomi,"Elektabilitas Ganjar Pranowo Terbukti Kena Pengaruh Isu Piala Dunia U-20, MIPOS: Terjun Bebas! https://t.co/unkyFpmNmY",False
21,2023-04-05 21:40:32+00:00,gwabdeeeee,"Panitia Pelaksana Piala Dunia U-20 2023 secara resmi dibubarkan. Ketua Umum PSSI @erickthohir berharap kegagalan ini menjadi momentum untuk bangkit. Pembubaran ini dilakukan pada, Senin (3/4/2023), menyusul batalnya gelaran Piala Dunia U-20 di Indonesia.
#GueBarengErickThohir https://t.co/5eEUcHWRHM",False
22,2023-04-05 21:20:45+00:00,ariefbudiawan7,"@MarahIchsan Saat Ganjar menolak Israel di piala dunia U-20, obrolan di angkringan ada yang ngomong, si Ganjar nyari dukungan kadrun, karena yg sdh mendukung dia selama ini tidak akan berpindah ke yg lain.
Aku mah tetap ogah milih pak uban...",False
23,2023-04-05 21:16:56+00:00,monitorind,Penolakan Timnas Israel Piala Dunia U-20 2023 https://t.co/VRKnDm3sUr,False
24,2023-04-05 21:15:50+00:00,merindinggg,@Fransensismo @idextratime di sisi lain  Indonesia batal menyelenggarakan piala dunia u-20,False
25,2023-04-05 21:14:21+00:00,rynata33,"@realmadridindo1 - Pique selingkuh 
- Messi belum balik
- piala dunia u-20 nggak jadi di Indonesia 
- rambutnya zidane belum tumbuh",False
26,2023-04-05 21:09:48+00:00,JalilBasyah,"Batal piala dunia U-20 karena Koster dan Ganjar
Ketua PSSI: Ya FIFA Melihat ini sebuah Intervensi https://t.co/TSgTvQBfC7",False
27,2023-04-05 21:01:21+00:00,Darukncr_,@thecasualultra Kaya gini mau jadi tuan rumah piala dunia u-20,False
28,2023-04-05 20:54:12+00:00,sirodjudin_1,Ganjar Pranowo Tegaskan Keputusan Soal Tuan Rumah Piala Dunia U-20 di Tangan FIFA dan PSSI https://t.co/w7g2KGJIbw,False
29,2023-04-05 20:50:08+00:00,wadi_chand28556,@Reonyree @Gus_Raharjo Cukup informatif. Ivestigasi Tempo di atas mengingatkan kita kembali kronologi awal mula Indonesia ditunjuk sebagai tuan rumah piala dunia U-20 sampai pada pembatalan Indonesia sebagai tuan rumah.,False
30,2023-04-05 20:44:38+00:00,DavidGosal4,"@KakekHalal Level gubernur (PDIP) tapi omongan mencla mencle, gak bisa dipegang, gak bisa dipercaya.

Bahkan komitmen tertulis diingkarinya pula.

https://t.co/UAqilYbtNn

Sebelum Tolak Israel, Gubernur Bali Garansi Jadi Tuan Rumah Piala Dunia U-20
https://t.co/R1w8JYE0tN",False
31,2023-04-05 20:43:50+00:00,DavidGosal4,"@KakekHalal GANJAR + KOSTER DICACI
https://t.co/hhUSUpKdCI

Ganjar dan Koster Ditantang Mundur sbg Tanggung Jawab Moral Piala Dunia U-20 Batal
https://t.co/934h99GHbT",False
32,2023-04-05 20:34:42+00:00,DavidGosal4,"@KakekHalal GANJAR &amp; PENYESALAN PIALA DUNIA U 20 !!
https://t.co/iYFaxzTdbA",False
33,2023-04-05 20:27:15+00:00,MuradRagil,@GanjaranApp Ini adalah sebuah bukti bahwa Pak Ganjar tetap ingin piala dunia U-20 ini tetap berjalan dengan semestinya tanpa kehadiran timnas Israel,False
34,2023-04-05 20:25:35+00:00,Farahambar1,"@GanjaranApp Kita bisa melihat walaupun banyak dari masyarakat yang menilai gagalnya penyelenggaraan piala dunia dikarenakan penolakan Pak Ganjar, namun Pak Ganjar tetap sabar dan ingin memberikan solusi terhadap pemerintah agar bisa mengupayakan piala dunia U-20 ini tetap berjalan",False
35,2023-04-05 20:23:42+00:00,chikajesss__,"@GanjaranApp Memang keputusan akhir semuanya ada di tangan FIFA, tapi bagi Pak Ganjar mendukung bangsa ini agar tetap bisa bermain di piala dunia U-20 terus di lakukan. Yang di tolak oleh beliau hanya Israel nya bukan timnas Indonesia",False
